ID,Team,Goals,Shots on target,Shots off target,Passes,Passes completed,Touches,Corners Taken,Tackles,Offsides,Yellow Cards,Red Cards,Players Used,Shooting Accuracy
0,Croatia,4,13,12,1076,828,1706,14,49,2,9,0,16,52.0
1,Czech Republic,4,13,18,1565,1223,2358,21,62,8,7,0,19,41.935483870967744
2,Denmark,4,10,10,1298,1082,1873,16,40,8,4,0,15,50.0
3,England,5,11,18,1488,1200,2440,16,86,6,5,0,16,37.93103448275862
4,France,3,22,24,2066,1803,2909,28,71,5,6,0,19,47.82608695652174
5,Germany,10,32,32,2774,2427,3761,35,91,12,4,0,17,50.0
6,Greece,5,8,18,1187,911,2016,10,65,12,9,1,20,30.76923076923077
7,Italy,6,34,45,3016,2531,4363,30,98,16,16,0,19,43.037974683544306
8,Netherlands,2,12,36,1556,1381,2163,22,34,3,5,0,15,25.0
9,Poland,2,15,23,1059,852,1724,14,67,3,7,1,17,39.473684210526315
10,Portugal,6,22,42,1891,1461,2958,41,78,10,12,0,16,34.375
11,Republic of Ireland,1,7,12,851,606,1433,8,45,11,6,1,17,36.8421052631579
12,Russia,5,9,31,1602,1345,2278,21,65,4,6,0,16,22.5
13,Spain,12,42,33,4317,3820,5585,44,122,19,11,0,18,56.0
14,Sweden,5,17,19,1192,965,1806,7,56,7,7,0,18,47.22222222222222
15,Ukraine,2,7,26,1276,1043,1894,18,65,4,5,0,18,21.21212121212121
