Date,Company,Product,Units
6/2/17 4:30,FPT,Software,11
6/2/17 23:00,VIETTEL,Hardware,17
6/3/17 15:00,VIN,Software,21
6/4/17 14:30,LG,Software,21
6/4/17 21:00,HP,Hardware,22
6/5/17 1:00,HP,Software,27
6/5/17 20:00,FPT,Service,18
6/7/17 22:00,HP,Hardware,9
6/9/17 7:00,LG,Service,27
6/9/17 16:00,VIETTEL,Software,15
6/11/17 23:00,VIN,Software,15
6/11/17 21:00,FPT,Software,12
6/16/17 10:00,FPT,Software,18
6/19/17 4:00,VIETTEL,Hardware,24
6/19/17 12:00,VIETTEL,Service,18
6/21/17 4:00,VIETTEL,Software,11
6/21/17 19:30,FPT,Hardware,11
6/25/17 1:30,VIN,Service,18
6/26/17 8:00,LG,Service,12
